group,value,sample_count,trip_count,vin_count,mean_haversine_km,median_haversine_km,p90_haversine_km,recall_within_1km,recall_within_5km,recall_within_10km,recall_within_25km,cell_metrics_defined_samples,cell_metrics_undefined_samples,top_1_cell_accuracy,top_3_cell_accuracy,top_5_cell_accuracy,mean_reciprocal_rank
split,test,30,10,2,0.7810661492937812,0.7809584171347783,1.4554415066484445,0.5333333333333333,1.0,1.0,1.0,0,30,,,,
split,train,150,50,10,7.958885760295115e-12,7.90382658807987e-12,1.3436307835829377e-11,1.0,1.0,1.0,1.0,150,0,1.0,1.0,1.0,1.0
split,validation,30,10,2,0.800477216756532,0.7740577693912614,1.3178446015302474,0.7333333333333333,1.0,1.0,1.0,0,30,,,,
prefix_fraction,0.0,70,70,14,0.22541534240706418,1.0272433093684042e-11,0.9300970284377855,0.9142857142857143,1.0,1.0,1.0,50,20,1.0,1.0,1.0,1.0
prefix_fraction,0.25,70,70,14,0.222276463054488,1.0272433093684042e-11,0.9558665560813018,0.9,1.0,1.0,1.0,50,20,1.0,1.0,1.0,1.0
prefix_fraction,0.5,70,70,14,0.2301124942913511,1.0272433093684042e-11,1.0436284324985243,0.8714285714285714,1.0,1.0,1.0,50,20,1.0,1.0,1.0,1.0
